dt,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ
0.0,-2997119.8657687576,-4388557.225749306,-3503293.6830374366,191.9806108721381,-199.92763937015386,86.20601383202848,0.0,0.0,0.0
1800.0,-2651554.766198909,-4748426.9766155835,-3348122.8581397855,183.67142156685773,-206.8930385810469,86.20646912389327,0.0,0.0,0.0
3600.0,-2320946.207378565,-5120834.446061468,-3192951.2137167775,175.3646814309856,-213.86153381376994,86.20692460785557,0.0,0.0,0.0
5400.0,-2005289.7808027908,-5505785.206926254,-3037778.7494226373,167.06039165837018,-220.83312422808527,86.20738028385891,0.0,0.0,0.0
7200.0,-1704581.0758177245,-5903284.830536807,-2882605.4649116914,158.7585534425892,-227.80780898326634,86.2078361518468,0.0,0.0,0.0
9000.0,-1418815.6796210639,-6313338.886706687,-2727431.359838367,150.45916797694954,-234.78558723809772,86.20829221176274,0.0,0.0,0.0
10800.0,-1147989.1772625546,-6735952.943735262,-2572256.433857194,142.1622364544869,-241.76645815087528,86.20874846355017,0.0,0.0,0.0
12600.0,-892097.1516444782,-7171132.568406838,-2417080.686622804,133.8677600679656,-248.75042087940616,86.20920490715251,0.0,0.0,0.0
14400.0,-651135.1835221401,-7618883.325989769,-2261904.1177899297,125.57574000987844,-255.7374745810089,86.20966154251319,0.0,0.0,0.0
16200.0,-425098.8515043589,-8079210.780235585,-2106726.727013406,117.2861774724464,-262.7276184125135,86.21011836957555,0.0,0.0,0.0
18000.0,-213983.7320539554,-8552120.493378108,-1951548.51394817,108.99907364761845,-269.7208515302615,86.21057538828295,0.0,0.0,0.0
19800.0,-17785.399488242198,-9037618.02613258,-1796369.4782492607,100.71442972707132,-276.717173090106,86.21103259857868,0.0,0.0,0.0
21600.0,163500.57402048618,-9535708.937694771,-1641189.619571819,92.4322469022093,-283.71658224741185,86.21149000040604,0.0,0.0,0.0
23400.0,329878.6184444629,-10046398.785740113,-1486008.937571088,84.152526364164,-290.7190781570556,86.21194759370829,0.0,0.0,0.0
25200.0,481353.1658999581,-10569693.126422813,-1330827.4319024133,75.87526930379416,-297.7246599734256,86.21240537842863,0.0,0.0,0.0
27000.0,617928.6506467876,-11105597.514374979,-1175645.1022212417,67.60047691168538,-304.7333268504222,86.21286335451026,0.0,0.0,0.0
28800.0,739609.5090878212,-11654117.502705738,-1020461.9481831233,59.32815037814996,-311.74507794145757,86.21332152189636,0.0,0.0,0.0
30600.0,846400.1797684912,-12215258.64300036,-865277.9694437098,51.05829089322664,-318.759912399456,86.21377988053007,0.0,0.0,0.0
32400.0,938305.1033762991,-12789026.485319382,-710093.1656587557,42.79089964668039,-325.77782937685396,86.21423843035448,0.0,0.0,0.0
34200.0,1015328.7227403239,-13375426.57819772,-554907.5364841176,34.525977828002205,-332.79882802559996,86.2146971713127,0.0,0.0,0.0
36000.0,1077475.482830728,-13974464.4686438,-399721.0815757548,26.263526626408876,-339.82290749715486,86.21515610334775,0.0,0.0,0.0
37800.0,1124749.8307582638,-14586145.702138677,-244533.80058972884,18.003547230842756,-346.8500669424919,86.21561522640268,0.0,0.0,0.0
39600.0,1157156.2157737808,-15210475.822635163,-89345.69318220404,9.74604082997157,-353.8803055120965,86.21607454042046,0.0,0.0,0.0
41400.0,1174699.0892677295,-15847460.372556936,65843.24099055279,1.4910086121881658,-360.91362235596694,86.21653404534408,0.0,0.0,0.0
43200.0,1177382.9047696684,-16497104.892797677,221033.00227217213,-6.761548234389673,-367.9500166236137,86.21699374111644,0.0,0.0,0.0
45000.0,1165212.117947767,-17159414.922720183,376223.5910061817,-15.011628521919475,-374.98948746406006,86.21745362768048,0.0,0.0,0.0
46800.0,1138191.186608312,-17834396.00015549,531415.0075360066,-23.25923106283429,-382.032034025842,86.21791370497907,0.0,0.0,0.0
48600.0,1096324.5706952102,-18522053.661402006,686607.252204969,-31.50435466984289,-389.0776554570082,86.21837397295505,0.0,0.0,0.0
50400.0,1039616.7322894931,-19222393.44122462,841800.325356288,-39.74699815593002,-396.1263509051202,86.21883443155124,0.0,0.0,0.0
52200.0,968072.1356088191,-19935420.872853838,996994.2273330803,-47.98716033435661,-403.1781195172526,86.21929508071045,0.0,0.0,0.0
54000.0,881695.2470069772,-20661141.487984892,1152188.958478359,-56.224840018659954,-410.23296043999284,86.21975592037543,0.0,0.0,0.0
55800.0,780490.5349733892,-21399560.81677688,1307384.5191350349,-64.460036022654,-417.2908728194415,86.22021695048892,0.0,0.0,0.0
57600.0,664462.470132612,-22150684.387851875,1462580.909645915,-72.69274716042949,-424.35185580121237,86.22067817099361,0.0,0.0,0.0
59400.0,533615.525243839,-22914517.728294056,1617778.1303537036,-80.92297224635426,-431.4159085304324,86.22113958183219,0.0,0.0,0.0
61200.0,387954.17520040134,-23691066.363648836,1772976.1816010016,-89.15071009507338,-438.48303015174173,86.22160118294731,0.0,0.0,0.0
63000.0,227482.89702926925,-24480335.81792197,1928175.063730307,-97.37595952150944,-445.5532198092941,86.22206297428158,0.0,0.0,0.0
64800.0,52206.169890552264,-25282331.6135787,2083374.7770840137,-105.59871934086273,-452.6264766467565,86.2225249557776,0.0,0.0,0.0
66600.0,-137871.52492300066,-26097059.271542862,2238575.322004413,-113.81898836861147,-459.7027998073096,86.22298712737792,0.0,0.0,0.0
68400.0,-342745.7039865013,-26924524.311196018,2393776.6988336933,-122.03676542051203,-466.7821884336475,86.22344948902507,0.0,0.0,0.0
70200.0,-562411.881743423,-27764732.250376582,2548978.9079139386,-130.25204931259913,-473.86464166797816,86.22391204066156,0.0,0.0,0.0
72000.0,-796865.5705061014,-28617688.605378944,2704181.9495871295,-138.4648388611861,-480.95015865202316,86.22437478222987,0.0,0.0,0.0
73800.0,-1046102.2804562363,-29483398.890952587,2859385.8241951433,-146.67513288286509,-488.038738527018,86.22483771367244,0.0,0.0,0.0
75600.0,-1310117.5196453934,-30361868.62030122,3014590.5320797535,-154.88293019450722,-495.13038043371193,86.22530083493169,0.0,0.0,0.0
77400.0,-1588906.7939955064,-31253103.305081904,3169796.0735826306,-163.0882296132629,-502.22508351236837,86.22576414595,0.0,0.0,0.0
79200.0,-1882465.6072993795,-32157108.455404166,3325002.4490453405,-171.291029956562,-509.32284690276464,86.22622764666973,0.0,0.0,0.0
81000.0,-2190789.461221191,-33073889.57982914,3480209.658809346,-179.49133004211404,-516.4236697441922,86.22669133703322,0.0,0.0,0.0
82800.0,-2513873.8552969964,-34003452.18536869,3635417.703216006,-187.68912868790846,-523.527551175457,86.22715521698277,0.0,0.0,0.0
84600.0,-2851714.2869352316,-34945801.77748451,3790626.582606575,-195.88442471221487,-530.6344903348788,86.22761928646064,0.0,0.0,0.0
