0.07238,0.59257,0.5932,0.59325,0.59351,0.61388,0,1
0.61393,1.12118,1.12173,1.12175,1.12199,1.14148,1,1
1.14153,1.6236,1.62411,1.62413,1.62433,1.64288,2,1
1.64494,2.14668,2.14782,2.14784,2.14806,2.18835,0,2
2.18842,2.70385,2.70487,2.70489,2.7051,2.7469,1,2
2.74696,3.235,3.23607,3.2361,3.2363,3.27485,2,2
3.27698,3.76994,3.7715,3.77153,3.77174,3.83054,0,3
3.8306,4.33725,4.33902,4.33906,4.33931,4.399,1,3
4.39905,4.93918,4.94071,4.94073,4.94094,5.00106,2,3
5.00306,5.53488,5.53724,5.53729,5.53754,5.61921,0,4
5.61926,6.12346,6.12647,6.12653,6.12675,6.20744,1,4
6.20751,6.69055,6.69269,6.69272,6.69293,6.77226,2,4
6.7745,7.31978,7.32232,7.32237,7.32263,7.42009,0,5
7.42014,7.90388,7.90635,7.90638,7.9066,8.00231,1,5
8.00237,8.50068,8.5032,8.50323,8.50345,8.60409,2,5
8.60665,9.112,9.11498,9.11501,9.11524,9.26364,0,6
9.26369,9.75741,9.76061,9.76068,9.76102,9.87696,1,6
9.87701,10.428,10.43095,10.43098,10.43122,10.54937,2,6
10.5519,11.04763,11.05134,11.05138,11.05161,11.1988,0,7
11.19885,11.68153,11.68494,11.68497,11.6852,11.81975,1,7
11.8198,12.31653,12.32039,12.32043,12.32065,12.454,2,7
12.45646,12.98244,12.98649,12.98652,12.98673,13.14665,0,8
13.1467,13.63499,13.63889,13.63892,13.63914,13.79439,1,8
13.79445,14.28983,14.29436,14.2944,14.29461,14.45526,2,8
14.45743,14.94779,14.95215,14.95218,14.95239,15.12971,0,9
15.12976,15.68959,15.69401,15.69404,15.69426,15.87048,1,9
15.87053,16.36822,16.37268,16.37271,16.37292,16.55212,2,9
16.55574,17.05081,17.05594,17.05598,17.0562,17.26418,0,10
17.26423,17.75578,17.76078,17.76081,17.76104,17.95121,1,10
17.95126,18.50437,18.5093,18.50934,18.50956,18.70985,2,10
